amfi_code,scheme_name,fund_house,sub_category,plan,expense_ratio_pct,cagr_3yr_pct,sharpe_ratio,alpha_pct,beta,max_drawdown_pct,rank_3yr_return,rank_sharpe,rank_alpha,rank_expense,rank_maxdd,fund_score,overall_rank
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,1.57,19.662361245910965,0.5197971450361778,17.048756803412697,-0.019486785689474526,-10.85986215250232,57.49999999999999,62.5,55.00000000000001,15.000000000000002,85.0,54.62,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,1.42,13.974980348212673,0.5165503915082101,17.703302365844074,-0.0402689523698206,-13.897862823061635,40.0,60.0,60.0,50.0,67.5,53.25,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,1.52,14.744434832760533,0.6406730942266641,20.873010086942337,-0.026387719943843004,-15.27259422823477,42.5,65.0,67.5,33.75,55.00000000000001,53.06,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,1.41,18.417429266835228,0.40461547832920475,16.25385327998104,0.04189646272811977,-19.82565826298267,52.5,55.00000000000001,52.5,52.5,35.0,51.38,21
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,0.75,20.8115598266319,-0.04707325681075906,8.232801295222094,0.02588321244009315,-21.751396370148225,62.5,32.5,32.5,80.0,25.0,47.88,22
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,1.64,25.549670172502026,0.38463733450338444,16.211256794033254,0.016682689437770827,-21.539827112383225,70.0,47.5,50.0,1.2499999999999956,27.500000000000004,45.81,23
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,1.54,18.03973982038829,0.23966336777285166,13.173190226099432,-0.004050271130006534,-14.844576917771747,50.0,40.0,42.5,23.750000000000004,62.5,43.31,24
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,0.78,11.242518737374208,0.1347978410610396,11.98910097121797,0.009054412621739154,-21.11727956013212,37.5,37.5,37.5,75.0,30.0,42.38,25
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,1.53,8.0060298597036,0.292343251010993,17.50072167561127,0.1034966369133759,-23.34488614483311,35.0,45.0,57.49999999999999,28.749999999999996,22.5,39.81,26
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,1.59,17.263014444437943,0.25511741256223125,13.042924450705446,0.036356399022199795,-17.57361416468729,47.5,42.5,40.0,12.5,42.5,39.0,27
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,0.74,7.392538786263403,-3.650183878568478,6.746210411099539,-0.0004440926329707234,-0.09773140045925555,30.0,7.5,25.0,82.5,100.0,38.25,28
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,0.6,6.694394239074852,-4.000348969233408,6.4556774953759986,-0.00040074423947840013,-0.11629327956168556,27.500000000000004,5.0,22.5,92.5,97.5,37.62,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,0.55,4.061259859840338,-0.8505789759662293,5.074772999976104,0.0012566742731558458,-8.316361763638703,20.0,12.5,15.0,97.5,87.5,35.5,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,0.77,5.838988442093762,-0.7430986305648408,5.620895216638369,-0.006413850728276477,-4.328728923970093,22.5,15.0,17.5,77.5,90.0,34.62,31
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,0.56,3.9154793546847033,-1.0399413574427754,4.281792031506088,0.0011582183155281463,-4.308263824636349,17.5,10.0,7.5,95.0,92.5,32.75,32
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,0.79,6.314299292105274,-4.650400707150913,6.086145795787115,0.00026670968338238433,-0.16224980244717857,25.0,2.5,20.0,72.5,95.0,32.5,33
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,1.56,7.75416750547262,-0.05816681141492252,7.80443887615508,0.01805687420811816,-24.003511326274886,32.5,30.0,30.0,17.500000000000004,20.0,27.88,34
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,0.72,-1.337083602283895,-0.13617811182970374,4.882421594553985,0.06200180438267168,-52.57422117012851,7.5,25.0,12.5,86.25,2.5,24.19,35
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,1.64,0.5257668501786883,-0.13100916883965183,6.899529821677549,0.009730745001153637,-14.401617909337261,12.5,27.500000000000004,27.500000000000004,1.2499999999999956,65.0,22.81,36
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,1.53,-4.151453816140693,0.05261813647585507,10.897091901704538,-0.06528924788351524,-35.44691649336603,5.0,35.0,35.0,28.749999999999996,7.5,22.31,37
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,1.38,-11.703299329834216,-0.1516581586164415,4.801595363775955,-0.066951174639292,-51.677753708526566,2.5,22.5,10.0,57.49999999999999,5.0,17.5,38
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,1.51,-0.7672319440258146,-0.29488891285108904,2.8969397866379443,-0.04212502902189432,-28.00112356639287,10.0,20.0,2.5,38.74999999999999,15.0,15.81,39
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,1.55,1.2923525892154508,-0.32101926049954294,3.747580763443281,-0.0582684314388089,-24.734440880673304,15.0,17.5,5.0,19.999999999999996,17.5,14.62,40
