amfi_code,scheme_name,fund_house,sub_category,plan,risk_category,latest_nav,mu_annual_pct,sigma_annual_pct,p5_nav_5yr,p25_nav_5yr,p50_nav_5yr,p75_nav_5yr,p95_nav_5yr,expected_return_5yr_pct,prob_profit_pct,max_simulated_nav,min_simulated_nav,simulations
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,Moderate,482.127,8.756,11.382,466.2,609.54,722.31,856.2,1104.72,49.82,93.5,1589.03,286.29,1000
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,Moderate,606.2349,8.672,12.138,571.32,741.11,895.36,1091.48,1400.64,47.69,92.4,2120.59,371.26,1000
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,High,188.3619,7.388,15.518,143.43,201.87,257.27,321.4,456.01,36.58,80.6,789.39,97.57,1000
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,Low,388.5939,4.821,0.459,486.13,490.76,494.35,497.9,502.87,27.21,100.0,511.53,473.99,1000
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,Moderate,58.4203,5.244,11.821,48.65,61.65,73.74,87.17,114.35,26.23,81.5,176.33,26.63,1000
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,Low,4268.5497,4.613,0.471,5283.49,5339.26,5374.36,5414.99,5467.57,25.91,100.0,5542.56,5217.69,1000
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,Low,410.1021,4.351,0.462,501.69,506.53,509.98,513.22,518.65,24.35,100.0,528.08,494.66,1000
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,Low,54.2038,3.948,3.357,58.11,62.44,65.85,69.17,75.21,21.49,99.4,91.26,47.81,1000
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,Low,37.8243,3.574,3.372,39.71,42.9,45.22,47.6,51.1,19.55,98.9,55.15,34.43,1000
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,Moderate,50.8387,4.259,11.79,38.69,51.23,60.4,72.89,93.64,18.8,76.1,151.07,27.93,1000
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,Low,31.8843,3.009,3.303,32.75,35.14,37.03,39.03,42.14,16.14,98.1,48.48,29.89,1000
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,High,82.6457,4.475,15.132,54.66,76.42,95.78,122.62,173.34,15.9,66.2,292.47,26.31,1000
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,Very High,53.9836,5.271,21.806,26.74,45.08,61.77,85.94,133.54,14.41,61.1,279.08,14.81,1000
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,Moderate,583.6113,1.796,12.293,378.78,502.55,605.64,734.97,952.25,3.78,56.2,1221.41,209.96,1000
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,High,125.564,0.804,15.335,71.03,98.3,123.3,152.23,215.52,-1.8,47.4,388.52,36.4,1000
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,Very High,105.4849,1.403,21.1,46.61,75.21,102.22,140.03,228.35,-3.09,46.9,390.93,20.55,1000
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,Very High,56.1319,1.042,21.191,24.07,37.76,52.18,73.58,115.27,-7.05,44.3,351.53,10.6,1000
